City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,volzhskiy,48.78,44.78,30.2,80,75,2.24,RU,1577571123
343,aluksne,57.42,27.05,26.08,75,98,5.48,LV,1577571124
344,livingstone,-17.85,25.86,71.94,78,1,2.28,ZW,1577571124
345,bilibino,68.06,166.44,-18.13,60,19,2.28,RU,1577570932
346,ondjiva,-17.07,15.73,77.2,62,98,3.0,AO,1577571125
347,cabedelo,-6.97,-34.84,80.6,74,40,10.29,BR,1577571125
348,hachinohe,40.47,141.48,28.4,79,40,11.41,JP,1577571125
349,qasigiannguit,68.82,-51.19,3.2,71,100,4.7,GL,1577570932
350,ewa beach,21.32,-158.01,84.0,58,20,14.99,US,1577571126
351,santiago del estero,-27.8,-64.26,104.86,24,100,18.54,AR,1577571127
352,viedma,-40.81,-62.99,70.29,27,83,10.83,AR,1577570912
353,wanxian,30.8,108.39,42.62,91,23,0.94,CN,1577571127
354,voh,-20.95,164.69,77.52,81,0,12.03,NC,1577571127
355,auce,56.47,22.9,26.56,89,65,5.14,LV,1577571127
356,moose factory,51.26,-80.61,23.0,79,90,9.17,CA,1577571128
357,san andres,13.32,122.68,72.27,90,0,3.33,PH,1577571128
358,manaure,11.78,-72.45,91.4,52,40,9.17,CO,1577571128
359,zhigansk,66.77,123.37,-36.33,90,18,11.23,RU,1577570898
360,lucapa,-8.42,20.74,67.37,96,47,0.89,AO,1577571129
361,kanniyakumari,8.08,77.57,79.0,75,81,27.13,IN,1577571129
362,san luis,-33.3,-66.34,84.49,56,100,20.51,AR,1577571129
363,menongue,-14.66,17.68,64.27,96,100,4.05,AO,1577571129
364,coihaique,-45.58,-72.07,59.0,54,75,8.05,CL,1577571130
365,never,53.98,124.16,-30.82,93,0,2.77,RU,1577571130
366,jablah,35.36,35.93,51.8,87,90,6.93,SY,1577571130
367,petropavlovsk-kamchatskiy,53.05,158.65,24.8,58,40,11.18,RU,1577571130
368,kincardine,44.18,-81.63,35.01,91,100,6.89,CA,1577571130
369,erzin,36.95,36.2,46.99,100,75,3.36,TR,1577571131
370,kaeo,-35.1,173.78,70.0,55,6,5.99,NZ,1577571131
371,longyearbyen,78.22,15.63,17.6,67,20,24.16,NO,1577570901
372,novikovo,51.15,37.89,26.87,93,100,8.66,RU,1577570883
373,bonham,33.58,-96.18,66.0,93,90,10.29,US,1577570862
374,doaba,33.42,70.74,37.94,35,0,1.68,PK,1577571131
375,sol-iletsk,51.16,55.0,19.36,95,100,1.9,RU,1577571132
376,perry,30.12,-83.58,75.2,83,90,4.7,US,1577570983
377,boende,-0.28,20.88,76.75,66,80,1.19,CD,1577571134
378,galle,10.08,-12.83,73.11,49,0,3.31,GN,1577570919
379,zalantun,48.0,122.72,-7.55,98,100,4.97,CN,1577571135
380,roebourne,-20.77,117.15,92.1,31,51,6.35,AU,1577571135
381,bodden town,19.28,-81.25,84.99,70,20,10.29,KY,1577571136
